City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
344,Hit,33.6416,42.8251,51.67,58,0,12.39,clear sky,IQ,2022-02-12 01:00:56
345,Oktyabrskiy,54.4815,53.471,22.57,96,100,5.17,overcast clouds,RU,2022-02-12 01:00:56
346,Thenzawl,23.3167,92.75,46.27,79,0,2.51,clear sky,IN,2022-02-12 01:00:57
347,Gurupa,-1.405,-51.64,73.27,97,89,3.6,overcast clouds,BR,2022-02-12 01:00:57
348,Laguna,38.421,-121.4238,75.29,52,0,4.61,clear sky,US,2022-02-12 00:57:43
349,Prince Rupert,54.3161,-130.3201,38.86,77,89,1.36,overcast clouds,CA,2022-02-12 01:00:37
350,Milici,44.1711,19.0903,35.82,88,100,3.69,overcast clouds,BA,2022-02-12 01:00:58
351,Altamira,-3.2033,-52.2064,72.79,97,100,2.17,overcast clouds,BR,2022-02-12 01:00:58
352,Rabo De Peixe,37.8,-25.5833,60.28,84,75,6.91,broken clouds,PT,2022-02-12 01:00:59
353,Oudtshoorn,-33.5907,22.2014,67.86,59,0,2.3,clear sky,ZA,2022-02-12 01:01:00
354,Rudolfov,48.9934,14.5418,36.61,73,87,8.01,overcast clouds,CZ,2022-02-12 01:01:00
355,Bell Ville,-32.6259,-62.6887,60.67,92,71,10.98,broken clouds,AR,2022-02-12 01:01:00
356,Panalingaan,8.7842,117.4231,83.44,69,66,2.66,broken clouds,PH,2022-02-12 01:01:00
357,Plouzane,48.3833,-4.6167,37.45,90,0,5.75,clear sky,FR,2022-02-12 01:01:01
358,Chunskiy,56.0815,99.6342,-24.84,100,19,2.19,few clouds,RU,2022-02-12 01:01:01
359,Lena,43.1,-5.7333,38.7,91,100,4.38,overcast clouds,ES,2022-02-12 01:01:01
360,Wajima,37.4,136.9,42.91,63,100,7.36,overcast clouds,JP,2022-02-12 01:01:02
361,Hamilton,39.1834,-84.5333,48.11,85,100,4.0,light rain,US,2022-02-12 01:00:36
362,Agirish,61.9247,63.0231,2.5,91,100,11.18,overcast clouds,RU,2022-02-12 01:01:02
363,Lebu,-37.6167,-73.65,58.75,78,0,21.21,clear sky,CL,2022-02-12 00:58:09
364,Gaspe,48.8334,-64.4819,24.71,80,40,13.8,scattered clouds,CA,2022-02-12 00:57:08
365,Praia Da Vitoria,38.7333,-27.0667,58.75,87,100,8.59,overcast clouds,PT,2022-02-12 01:01:03
366,Katsuura,35.1333,140.3,48.18,57,21,11.07,few clouds,JP,2022-02-12 00:59:56
367,Ypsonas,34.6884,32.9574,53.28,87,0,2.3,clear sky,CY,2022-02-12 01:02:03
368,Muisne,0.6,-80.0333,76.12,86,50,4.9,scattered clouds,EC,2022-02-12 01:02:03
369,Winnemucca,40.973,-117.7357,57.25,28,0,5.75,clear sky,US,2022-02-12 01:02:04
370,Batagay,67.6333,134.6333,-27.27,97,55,3.22,broken clouds,RU,2022-02-12 01:02:04
371,San Patricio,28.017,-97.5169,69.89,78,0,12.75,clear sky,US,2022-02-12 00:58:14
372,Saint Anthony,45.0205,-93.218,11.25,62,40,17.27,scattered clouds,US,2022-02-12 01:00:42
373,Voh,-20.9667,164.7,84.87,74,46,6.98,scattered clouds,NC,2022-02-12 01:02:04
374,Lesnoy,57.6198,63.0784,7.79,95,100,8.28,snow,RU,2022-02-12 01:02:05
375,Rundu,-17.9333,19.7667,68.38,85,100,8.66,overcast clouds,NA,2022-02-12 01:02:05
376,Buraydah,26.326,43.975,50.77,46,0,11.48,clear sky,SA,2022-02-12 01:02:05
377,Krasnoselkup,65.7,82.4667,-11.09,84,3,9.69,clear sky,RU,2022-02-12 01:02:06
378,Kiama,-34.6833,150.8667,75.0,91,81,1.99,moderate rain,AU,2022-02-12 00:57:25
379,Farafangana,-22.8167,47.8333,75.24,88,49,3.24,light rain,MG,2022-02-12 01:00:27
380,Goma,-1.6792,29.2228,61.54,81,100,3.4,overcast clouds,CD,2022-02-12 01:02:06
381,Almeirim,-1.5233,-52.5817,75.6,89,100,3.78,overcast clouds,BR,2022-02-12 01:02:06
382,Horconcitos,8.4682,-81.8007,66.43,89,100,6.55,overcast clouds,PA,2022-02-12 01:02:07
383,Anadyr,64.75,177.4833,-32.01,66,60,8.08,broken clouds,RU,2022-02-12 01:02:07
384,Arlit,18.7369,7.3853,63.01,19,0,6.89,clear sky,NE,2022-02-12 01:02:07
385,Hailar,49.2,119.7,-9.35,97,100,3.76,overcast clouds,CN,2022-02-12 01:02:08
386,Ponta Delgada,37.7333,-25.6667,61.5,63,75,6.91,broken clouds,PT,2022-02-12 01:02:08
387,Heilbron,-27.2812,27.9709,63.68,69,47,6.42,scattered clouds,ZA,2022-02-12 01:02:08
388,Georgiyevka,43.0369,74.7114,33.84,80,100,8.95,mist,KZ,2022-02-12 01:02:09
389,Cleveland,41.4995,-81.6954,42.98,89,100,11.5,light rain,US,2022-02-12 00:59:08
390,Pinega,64.7001,43.3936,17.89,97,96,4.72,light snow,RU,2022-02-12 01:02:09
391,Puerto Madryn,-42.7692,-65.0385,63.48,48,99,13.06,overcast clouds,AR,2022-02-12 01:01:36
392,Rocha,-34.4833,-54.3333,68.47,94,100,2.75,moderate rain,UY,2022-02-12 01:02:09
393,Riohacha,11.5444,-72.9072,86.11,51,0,9.22,clear sky,CO,2022-02-12 00:59:59
394,Mae Hong Son,19.3003,97.9685,61.66,38,9,0.72,clear sky,TH,2022-02-12 01:01:19
395,Kedougou,12.5579,-12.1743,74.62,13,67,3.33,broken clouds,SN,2022-02-12 01:02:10
396,San Jose,37.3394,-121.895,75.88,45,0,8.05,clear sky,US,2022-02-12 01:00:01
397,Mehran,33.1222,46.1646,52.84,69,19,2.82,few clouds,IR,2022-02-12 01:02:10
398,Xining,36.6167,101.7667,15.35,93,100,0.63,overcast clouds,CN,2022-02-12 01:02:11
399,Douentza,14.9951,-2.9517,65.53,17,0,6.31,clear sky,ML,2022-02-12 01:02:11
400,Kanniyakumari,8.0833,77.5667,77.92,78,67,15.79,moderate rain,IN,2022-02-12 01:02:11
401,Kangaatsiaq,68.3065,-53.4641,9.7,94,100,7.63,light snow,GL,2022-02-12 01:02:12
402,Birao,10.2849,22.7882,70.52,11,84,10.69,broken clouds,CF,2022-02-12 01:02:12
403,Makakilo City,21.3469,-158.0858,79.2,57,10,5.73,clear sky,US,2022-02-12 01:01:26
404,Petropavlovsk-Kamchatskiy,53.0452,158.6483,9.19,61,0,4.47,clear sky,RU,2022-02-12 01:02:12
405,Burnie,-41.0667,145.9167,64.2,55,0,8.23,clear sky,AU,2022-02-12 01:02:13
406,Suhut,38.5311,30.5458,31.21,48,0,2.86,clear sky,TR,2022-02-12 01:02:13
407,Cairns,-16.9167,145.7667,91.29,65,14,8.05,few clouds,AU,2022-02-12 01:00:09
408,Maraba,-5.3686,-49.1178,72.66,97,93,0.76,overcast clouds,BR,2022-02-12 01:02:13
409,Cidreira,-30.1811,-50.2056,74.46,83,0,20.31,clear sky,BR,2022-02-12 00:59:03
410,Caravelas,-17.7125,-39.2481,75.65,88,42,4.41,scattered clouds,BR,2022-02-12 00:58:15
411,Kumsi,14.0667,75.4,62.15,62,43,5.37,scattered clouds,IN,2022-02-12 01:03:14
412,Warmbad,-28.45,18.7333,83.44,31,100,13.71,overcast clouds,NA,2022-02-12 01:03:14
413,Chincha Alta,-13.4099,-76.1323,71.76,80,100,1.41,overcast clouds,PE,2022-02-12 01:03:15
414,Sorland,67.667,12.6934,30.85,89,98,28.12,snow,NO,2022-02-12 01:03:15
415,Surt,31.2089,16.5887,56.16,67,51,11.07,broken clouds,LY,2022-02-12 01:03:15
