City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,Biak,-0.9131,122.8766,76.66,83,100,4.27,ID,2022-02-09 17:42:11
145,San Carlos De Bariloche,-41.1456,-71.3082,73.15,28,75,19.57,AR,2022-02-09 17:42:11
146,Fairbanks,64.8378,-147.7164,-6.39,75,100,3.44,US,2022-02-09 17:40:49
147,Strelka,58.0728,93.0344,-22.16,100,27,1.81,RU,2022-02-09 17:42:12
148,Linxia,35.6003,103.2064,13.71,88,50,3.69,CN,2022-02-09 17:42:12
149,Rancho Palos Verdes,33.7445,-118.387,83.08,31,0,1.99,US,2022-02-09 17:42:13
150,Bara,10.3744,10.7288,91.18,10,74,8.95,NG,2022-02-09 17:42:13
151,Bahawalpur,29.4,71.6833,61.88,38,26,2.04,PK,2022-02-09 17:42:13
152,Namatanai,-3.6667,152.4333,78.69,82,80,0.85,PG,2022-02-09 17:42:14
153,Port Elizabeth,-33.918,25.5701,72.1,77,0,10.36,ZA,2022-02-09 17:38:12
154,Namibe,-15.1961,12.1522,74.93,75,100,12.84,AO,2022-02-09 17:42:14
155,Vanimo,-2.6741,141.3028,77.07,89,89,2.59,PG,2022-02-09 17:42:14
156,Hobart,-42.8794,147.3294,62.46,82,100,1.14,AU,2022-02-09 17:40:17
157,Old Shinyanga,-3.55,33.4,71.98,71,97,6.51,TZ,2022-02-09 17:42:15
158,Aykhal,66.0,111.5,-10.59,81,80,3.02,RU,2022-02-09 17:42:16
159,Waconia,44.8508,-93.7869,35.35,71,100,17.31,US,2022-02-09 17:42:16
160,Deori,21.45,82.6167,70.7,35,49,1.66,IN,2022-02-09 17:42:16
161,Elizabeth City,36.2946,-76.2511,57.22,41,0,4.61,US,2022-02-09 17:42:17
162,Lorengau,-2.0226,147.2712,80.94,81,47,4.32,PG,2022-02-09 17:42:17
163,Hun,29.1268,15.9477,53.26,50,24,10.02,LY,2022-02-09 17:42:18
164,Mount Isa,-20.7333,139.5,76.77,83,10,0.0,AU,2022-02-09 17:42:18
165,Katiola,8.1333,-5.1,92.07,15,13,5.57,CI,2022-02-09 17:42:19
166,Sakakah,29.9697,40.2064,74.77,37,65,12.66,SA,2022-02-09 17:41:28
167,Finschhafen,-6.6024,147.8681,80.2,82,78,7.99,PG,2022-02-09 17:42:19
168,Solnechnyy,50.7214,136.6319,-2.27,98,88,2.13,RU,2022-02-09 17:42:20
169,Kars,40.602,43.095,32.45,80,75,8.05,TR,2022-02-09 17:42:20
